Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.886478, -0.5604764;"{""coordinates"": [-0.5604764, 44.886478], ""type"": ""Point""}";302;Z25CT4;BOUCLE;25;;2012-11-29T13:16:08+01:00;2012-11-29T13:16:20+01:00;Bordeaux;33063
44.8903701, -0.5619807;"{""coordinates"": [-0.5619807, 44.8903701], ""type"": ""Point""}";305;Z25CT5;BOUCLE;25;11;2012-11-29T13:18:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8085464, -0.6314101;"{""coordinates"": [-0.6314101, 44.8085464], ""type"": ""Point""}";316;Z16CT10;BOUCLE;16;43;2012-11-29T13:40:08+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.8256255, -0.5896287;"{""coordinates"": [-0.5896287, 44.8256255], ""type"": ""Point""}";323;Z10CT4;BOUCLE;10;56;2012-11-29T13:50:48+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8192005, -0.5986224;"{""coordinates"": [-0.5986224, 44.8192005], ""type"": ""Point""}";329;Z10CT9;BOUCLE;10;;2012-11-29T13:58:20+01:00;2013-12-10T14:17:24+01:00;Talence;33522
44.8215831, -0.6017786;"{""coordinates"": [-0.6017786, 44.8215831], ""type"": ""Point""}";332;Z10CT21;BOUCLE;10;65;2012-11-29T14:06:12+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8261209, -0.588;"{""coordinates"": [-0.588, 44.8261209], ""type"": ""Point""}";335;Z10CT10;BOUCLE;10;;2012-11-29T14:12:12+01:00;2013-12-10T14:18:00+01:00;Bordeaux;33063
44.8309749, -0.5872776;"{""coordinates"": [-0.5872776, 44.8309749], ""type"": ""Point""}";339;Z10CT5;BOUCLE;10;;2012-11-29T14:15:24+01:00;2013-12-10T14:18:32+01:00;Bordeaux;33063
44.8304541, -0.5886214;"{""coordinates"": [-0.5886214, 44.8304541], ""type"": ""Point""}";340;Z10CT11;BOUCLE;10;24;2012-11-29T14:16:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8287153, -0.588199;"{""coordinates"": [-0.588199, 44.8287153], ""type"": ""Point""}";341;Z1003CT20;BOUCLE;10;;2012-11-29T14:18:44+01:00;2012-11-29T14:18:56+01:00;Bordeaux;33063
